campaign_id,partition,trial_index,trial_seed,c_exp,epoch,selection_hash
SAT-COV-V1,evaluation,1,2741194845,0,1,1dcb2df960241c0f6d112d259add772fd975a02a16827d076d1a6b235b564344
SAT-COV-V1,evaluation,1,2741194845,0,2,1f8b1837090199c224de7be71cbab9c208244538785bf40452e083c8c5c83c79
SAT-COV-V1,evaluation,1,2741194845,0,3,7df65c910695423540db08ba9b66cce7f205f70690d95e5238b22841d19df833
SAT-COV-V1,evaluation,1,2741194845,0,4,4102d10a3d3d456e1a9948824a4c7a8f06dd07177ac632ea3e895661fb7d418a
SAT-COV-V1,evaluation,1,2741194845,0,5,9890efd44ee55253356c54e5106d8f64cb2e5dcfe8d2edc26ad327e6b58b1265
SAT-COV-V1,evaluation,1,2741194845,0,6,e82fc483834ddebe3cf7e5774277e7964d5ca335d5e5c7796bb6fa7227cb66f4
SAT-COV-V1,evaluation,1,2741194845,0,7,faf426978d93ef23291888859fb08b4df70fd73173618ce6090fdfa6898e69cc
SAT-COV-V1,evaluation,1,2741194845,0,8,ec1a3523149e7fa26578939fc86134104cc74285dc00eeed5074707cd20df126
SAT-COV-V1,evaluation,1,2741194845,0,9,ffd9b7b380d4dea54fb49b032bbaba9d628096444db045f5266605dff2be3135
SAT-COV-V1,evaluation,1,2741194845,0,10,0a34ab1b54e334f9a978d79786561b34febb9408d9197aa99252042150ff7562
SAT-COV-V1,evaluation,1,2741194845,0,11,a86068ecc34c91c559eb12fb97ec7d1169025b61375d50c504b5b205dd78482d
SAT-COV-V1,evaluation,1,2741194845,0,12,ae88cc1b90cb6af84f739ee5b5d55d47f12291bc470a8c97c4caaf96cf23083a
SAT-COV-V1,evaluation,1,2741194845,0.25,1,1dcb2df960241c0f6d112d259add772fd975a02a16827d076d1a6b235b564344
SAT-COV-V1,evaluation,1,2741194845,0.25,2,1f8b1837090199c224de7be71cbab9c208244538785bf40452e083c8c5c83c79
SAT-COV-V1,evaluation,1,2741194845,0.25,3,7df65c910695423540db08ba9b66cce7f205f70690d95e5238b22841d19df833
SAT-COV-V1,evaluation,1,2741194845,0.25,4,4102d10a3d3d456e1a9948824a4c7a8f06dd07177ac632ea3e895661fb7d418a
SAT-COV-V1,evaluation,1,2741194845,0.25,5,9890efd44ee55253356c54e5106d8f64cb2e5dcfe8d2edc26ad327e6b58b1265
SAT-COV-V1,evaluation,1,2741194845,0.25,6,e82fc483834ddebe3cf7e5774277e7964d5ca335d5e5c7796bb6fa7227cb66f4
SAT-COV-V1,evaluation,1,2741194845,0.25,7,faf426978d93ef23291888859fb08b4df70fd73173618ce6090fdfa6898e69cc
SAT-COV-V1,evaluation,1,2741194845,0.25,8,ec1a3523149e7fa26578939fc86134104cc74285dc00eeed5074707cd20df126
SAT-COV-V1,evaluation,1,2741194845,0.25,9,ffd9b7b380d4dea54fb49b032bbaba9d628096444db045f5266605dff2be3135
SAT-COV-V1,evaluation,1,2741194845,0.25,10,0a34ab1b54e334f9a978d79786561b34febb9408d9197aa99252042150ff7562
SAT-COV-V1,evaluation,1,2741194845,0.25,11,a86068ecc34c91c559eb12fb97ec7d1169025b61375d50c504b5b205dd78482d
SAT-COV-V1,evaluation,1,2741194845,0.25,12,ae88cc1b90cb6af84f739ee5b5d55d47f12291bc470a8c97c4caaf96cf23083a
UAV-AG-V1,evaluation,1,1454570649,0,1,1c7b99274a51535162dffaae1d98797efff5d7eb2760f2a5618e3de53eea1df5
UAV-AG-V1,evaluation,1,1454570649,0,2,8ae4ab21f06c2b0f556d076ac71c6d81340e36f734d527948de249e1c24d83dd
UAV-AG-V1,evaluation,1,1454570649,0,3,a6903f96fe668fbd8bf2ec48506fd2d5e81acf882b5024f7f69cf33615877d3b
UAV-AG-V1,evaluation,1,1454570649,0,4,a8061bdb66b8420dfcee60fc5849c8a5e7807a5b6c7f4620296070d2f14ba614
UAV-AG-V1,evaluation,1,1454570649,0,5,acefd0e0629f4831a277f81db1213cf76a9ee4d55b570c0b713592469da3d927
UAV-AG-V1,evaluation,1,1454570649,0,6,d04771521aa4e665cd65f0242e4b40c90ad5d3aa9f60382a0532a8cdb9de85b8
UAV-AG-V1,evaluation,1,1454570649,0,7,d04771521aa4e665cd65f0242e4b40c90ad5d3aa9f60382a0532a8cdb9de85b8
UAV-AG-V1,evaluation,1,1454570649,0,8,9a9f956c7173825259374ea4e240df939be9c506488c3b63a7ed46320a42c020
UAV-AG-V1,evaluation,1,1454570649,0,9,d1731ed0c882a2ffee788b01b4fe1232d03355795cbe6915b872f3a057e63206
UAV-AG-V1,evaluation,1,1454570649,0,10,d1731ed0c882a2ffee788b01b4fe1232d03355795cbe6915b872f3a057e63206
UAV-AG-V1,evaluation,1,1454570649,0,11,56666755ce2bce472d0e3b0f9331e716c731efbf24eacf6e315edf6ea4e0b0d8
