satellite_id,product_id,product_quality
1,1,0.774937790014606
1,2,0.7407713210579207
1,3,0.7913266238779285
1,4,0.8369892088939042
1,5,0.8971774290574002
1,6,0.7887304076920166
2,1,0.9053348957774089
2,2,0.7799754517306248
2,3,0.8764577112913241
2,4,0.7515564509870922
2,5,0.7274343583180182
2,6,0.841234355772663
3,1,0.8330609505627351
3,2,0.7916736599608846
3,3,0.7783700417672559
3,4,0.8074054629173564
3,5,0.8390543964089857
3,6,0.844851879303898
4,1,0.7941452643902243
4,2,0.7110870906710094
4,3,0.7012358433205691
4,4,0.7750423898737372
4,5,0.7394042985415519
4,6,0.6937292898893166
5,1,0.7169242426977844
5,2,0.7045664559674636
5,3,0.8476563175727786
5,4,0.7143964297138704
5,5,0.7526085007093349
5,6,0.7956151592069833
6,1,0.7821604093727329
6,2,0.6483917637638869
6,3,0.662405521128259
6,4,0.6838934203301981
6,5,0.7904931858368723
6,6,0.7279079539079116
7,1,0.71657646968346
7,2,0.7059111711409499
7,3,0.7514082056253762
7,4,0.7096762275988184
7,5,0.8334072268797093
7,6,0.6935460668398745
8,1,0.8615453552849969
8,2,0.8309902382927928
8,3,0.86129586399879
8,4,0.7456297117747865
8,5,0.8945016498239553
8,6,0.7357142387485749
