epoch,target_id,cloud_fraction,solar_factor
1,1,0.06857023129253575,0.7097659129028203
1,2,0.21053129327204395,0.7097659129028203
1,3,0.22453039997461807,0.7097659129028203
1,4,0.4213574679207725,0.7097659129028203
1,5,0.4732559700112709,0.7097659129028203
1,6,0.22640141491709875,0.7097659129028203
1,7,0.20970866178595315,0.7097659129028203
1,8,0.4371131270053336,0.7097659129028203
1,9,0.30937677486490656,0.7097659129028203
1,10,0.20600291801715825,0.7097659129028203
1,11,0.062283781694959336,0.7097659129028203
1,12,0.2899679589723164,0.7097659129028203
1,13,0.23545729180535035,0.7097659129028203
1,14,0.16743581305881997,0.7097659129028203
1,15,0.5508442858050013,0.7097659129028203
1,16,0.5460801497071213,0.7097659129028203
1,17,0.07484060751586179,0.7097659129028203
1,18,0.273455379468113,0.7097659129028203
1,19,0.3261386620759027,0.7097659129028203
1,20,0.5414172915043941,0.7097659129028203
1,21,0.6003361163081117,0.7097659129028203
1,22,0.15512647878780148,0.7097659129028203
1,23,0.046951986912321775,0.7097659129028203
1,24,0.26101362139037604,0.7097659129028203
2,1,0.13866381311639364,0.7605483500649651
2,2,0.0703470273850674,0.7605483500649651
2,3,0.42201675268135574,0.7605483500649651
2,4,0.44912794030820513,0.7605483500649651
2,5,0.3563469930178222,0.7605483500649651
2,6,0.1834251843062887,0.7605483500649651
2,7,0.08714923195316174,0.7605483500649651
2,8,0.6136972434710892,0.7605483500649651
2,9,0.4186628364057766,0.7605483500649651
2,10,0.16042815237420316,0.7605483500649651
2,11,0.21797949343247663,0.7605483500649651
2,12,0.16984917827138946,0.7605483500649651
2,13,0.3622003410312187,0.7605483500649651
2,14,0.0757636816404629,0.7605483500649651
2,15,0.3292187122420652,0.7605483500649651
2,16,0.6085629675723818,0.7605483500649651
2,17,0.0,0.7605483500649651
2,18,0.1396060233113452,0.7605483500649651
2,19,0.1953635288815367,0.7605483500649651
2,20,0.4062103590328837,0.7605483500649651
2,21,0.5353060306532957,0.7605483500649651
2,22,0.15243875319243055,0.7605483500649651
2,23,0.08425638792786931,0.7605483500649651
2,24,0.39615417479874737,0.7605483500649651
3,1,0.21330536537550004,0.6989089046428176
3,2,0.16427881248501092,0.6989089046428176
3,3,0.3854863161699498,0.6989089046428176
3,4,0.12391544561600004,0.6989089046428176
3,5,0.3646998468049835,0.6989089046428176
3,6,0.20370401246523998,0.6989089046428176
3,7,0.0,0.6989089046428176
3,8,0.5186975655878108,0.6989089046428176
3,9,0.43269324797495157,0.6989089046428176
3,10,0.2203305334740581,0.6989089046428176
3,11,0.2839004914802303,0.6989089046428176
3,12,0.12642679492664216,0.6989089046428176
3,13,0.34861446519397066,0.6989089046428176
3,14,0.18890557317000833,0.6989089046428176
3,15,0.3365762084311467,0.6989089046428176
3,16,0.4753872218549742,0.6989089046428176
3,17,0.27813875639582164,0.6989089046428176
3,18,0.39198749655852516,0.6989089046428176
3,19,0.3455709835634821,0.6989089046428176
3,20,0.3389631759314947,0.6989089046428176
3,21,0.5257371573459841,0.6989089046428176
3,22,0.12326410864402852,0.6989089046428176
3,23,0.199042746332806,0.6989089046428176
3,24,0.09711597737291533,0.6989089046428176
4,1,0.2485218562047939,0.7507648136574246
4,2,0.20361595110472272,0.7507648136574246
4,3,0.38262756241582546,0.7507648136574246
4,4,0.1064424393621726,0.7507648136574246
4,5,0.3663225403645366,0.7507648136574246
4,6,0.3105765795887396,0.7507648136574246
4,7,0.0,0.7507648136574246
4,8,0.3951716983931132,0.7507648136574246
4,9,0.17334573575848056,0.7507648136574246
4,10,0.26718383413931646,0.7507648136574246
4,11,0.31303682241992503,0.7507648136574246
4,12,0.0,0.7507648136574246
4,13,0.31324561965441305,0.7507648136574246
4,14,0.01579620508022328,0.7507648136574246
4,15,0.3226636721038123,0.7507648136574246
4,16,0.17767276409329474,0.7507648136574246
4,17,0.1048866976120498,0.7507648136574246
4,18,0.6088855317767898,0.7507648136574246
4,19,0.35241496820968465,0.7507648136574246
4,20,0.07538885228410319,0.7507648136574246
4,21,0.5221896681473042,0.7507648136574246
4,22,0.5256080307067593,0.7507648136574246
4,23,0.09760074745922327,0.7507648136574246
4,24,0.0,0.7507648136574246
5,1,0.2588732228569325,0.8585603833902502
5,2,0.4972541064142826,0.8585603833902502
5,3,0.5081122046375882,0.8585603833902502
5,4,0.03406413138138162,0.8585603833902502
5,5,0.3298883783437881,0.8585603833902502
5,6,0.41991950612840173,0.8585603833902502
5,7,0.05037261903987276,0.8585603833902502
5,8,0.36552521455537645,0.8585603833902502
5,9,0.1459098535590969,0.8585603833902502
5,10,0.4446970621233567,0.8585603833902502
5,11,0.1968152028612385,0.8585603833902502
5,12,0.1289137422214603,0.8585603833902502
5,13,0.3175736559644126,0.8585603833902502
5,14,0.0,0.8585603833902502
5,15,0.2308936746828375,0.8585603833902502
5,16,0.07736314652469793,0.8585603833902502
5,17,0.24508446092313296,0.8585603833902502
5,18,0.502533095246465,0.8585603833902502
5,19,0.37020046537024986,0.8585603833902502
5,20,0.3291611220009323,0.8585603833902502
5,21,0.5748432362905787,0.8585603833902502
