target_id,longitude_deg,latitude_deg,spectral_channel,priority,cloud_baseline,product_relevance_1,product_relevance_2,product_relevance_3,product_relevance_4,product_relevance_5,product_relevance_6
1,-172.5,-26.388467835650825,1,0.5512631462886629,0.12064110516683044,0.5916538471770519,0.8773480060234764,0.4417610101390163,0.24536473515344553,0.9105294458692611,1.0
2,-157.5,-17.438408935211704,2,0.9424434983651326,0.09345462792342696,0.5758807343033322,0.36902607623965006,0.7348305346382515,1.0,0.8159796315161612,0.4490053322267507
3,-142.5,0.8278612639955085,3,0.9377432347777456,0.3999742576210063,0.7878659089021666,0.9088183055325966,0.8188772450508882,0.99755840197983,1.0,0.8117961354311766
4,-127.5,-26.668170615591986,1,0.8204351667954943,0.573316938253884,0.4508136774254147,0.5919072093443769,0.47984182429040756,0.9596320076203937,0.7273293743585361,1.0
5,-112.5,-20.732477274569348,2,0.739440823776222,0.4288149450636594,0.35735137217545365,0.776139794191272,1.0,0.7805094790974614,0.2921853794803883,0.10288972416093371
6,-97.5,32.640134515494964,3,0.7507888225647148,0.08619945164604527,0.572494615612363,0.5344562206682396,1.0,0.42024032709690395,0.9318758675659238,0.8859030853127868
7,-82.5,-39.60450588346936,1,0.7235350654921276,0.3014289386301807,1.0,0.7870732634353425,0.9146788830420002,0.5406456687533556,0.8669486321578161,0.29696009659049555
8,-67.5,16.295641793542472,2,0.7076428199816032,0.5301878513857836,0.8466651576286282,1.0,0.3717176733053338,0.36662212277437134,0.7394339256423281,0.34335236333601094
9,-52.5,-19.79148289554275,3,0.6024979926585564,0.395009292789895,0.44297431604315907,1.0,0.2795491765100655,0.708562213864196,0.9182589732585463,0.6842822588969232
10,-37.5,10.313757272835161,1,0.9439469984426694,0.15884093615692962,1.0,0.8090151976435274,0.7044728253370492,0.9365364266436162,0.8267049003630844,0.47458767462885926
11,-22.5,-28.234075857783544,2,0.9452234916483457,0.08252661232005132,0.13087645676185972,0.2634836510595454,1.0,0.608606412521633,0.7744035259130676,0.9354265563286295
12,-7.5,-15.797985461369265,3,0.8408095019364017,0.17179805466652515,0.5720487252078302,0.5428384802505495,1.0,0.25806612523681444,0.9750750730184676,0.43525277485718045
13,7.5,-44.74116902619046,1,0.8057334645947214,0.29716406844037985,0.6428896086767378,0.3531838603945569,0.859653616236219,0.5105045469802627,1.0,0.09700299243665975
14,22.5,-25.994072507392573,2,0.8747785485799859,0.21429516182605113,0.7639231419304927,0.5339900401671721,0.41121083795436986,1.0,0.4674111033208268,0.3974157102324272
15,37.5,-3.8680130642500075,3,0.5793478908570483,0.4118202820141505,1.0,0.5627317335532401,0.6704420515287602,0.18477245741067772,0.8568288324447529,0.9952472688217294
16,52.5,-21.145406013090437,1,0.9150957314544481,0.57374235502638,0.964936037016454,0.41762853671145594,0.7009752388619365,1.0,0.9564852074101127,0.4616660518528406
17,67.5,23.471253399394698,2,0.8779623311238731,0.16957290923006874,0.9341570765986735,1.0,0.4305502528714815,0.7170927361137224,0.6442598446137829,0.8770100347881185
18,82.5,34.449554122111664,3,0.9909566234045437,0.27078250862662523,1.0,0.9112253997994725,0.7779161077461423,0.5652738414401426,0.4162478364635246,0.7209674625942581
19,97.5,-28.596501425161154,1,0.81396193207105,0.26934802145354825,0.25452360401366614,0.5671432206077869,0.8454546175581219,1.0,0.8348263402916611,0.931771082063848
20,112.5,-50.177256713398684,2,0.5716532015230703,0.5822329165447345,1.0,0.9948341755056321,0.8261324649860231,0.6019893639291125,0.5528824149223116,0.21842361591038553
21,127.5,1.810146693243226,3,0.6979890200899292,0.4486707813902989,0.5570172610832013,1.0,0.5446954368312064,0.4917353661957839,0.9195298458401162,0.6563958650729813
22,142.5,-42.47939536252057,1,0.5715893921295405,0.18998192979741768,0.2882659582281849,0.2537541961406982,0.5201596498245615,1.0,0.8543165184702096,0.08417551373918812
23,157.5,15.162353759107702,2,0.7448718437210272,0.3282904117564168,1.0,0.8696021544087071,0.440262063124621,0.4010128727597488,0.9336874202729478,0.33657370201096676
24,172.5,40.80939168663605,3,0.7295174421902033,0.08429232903375186,0.44909171688574345,0.29381863325632274,1.0,0.12207971765980831,0.2743238175425881,0.6243810180856841
