campaign_id,source_mode,target_mode,jump_vector,jump_norm,certified_jump_bound,within_envelope
SAT-COV-V1,idle_hold,idle_hold,0|0|0|0|0|0,0,0.029999999999999999,1
SAT-COV-V1,idle_hold,survey,-0.0076822127959737573|0|0.0051214751973158385|0|-0.0038411063979868786|0,0.0099999999999999985,0.029999999999999999,1
SAT-COV-V1,idle_hold,responsive,-0.015364425591947515|0|0.010242950394631677|0|-0.0076822127959737573|0,0.019999999999999997,0.029999999999999999,1
SAT-COV-V1,idle_hold,agile,-0.023046638387921276|0|0.015364425591947516|0|-0.011523319193960638|0,0.029999999999999999,0.029999999999999999,1
SAT-COV-V1,survey,idle_hold,0.0076822127959737573|0|-0.0051214751973158385|0|0.0038411063979868786|0,0.0099999999999999985,0.029999999999999999,1
SAT-COV-V1,survey,survey,0|0|0|0|0|0,0,0.029999999999999999,1
SAT-COV-V1,survey,responsive,-0.0076822127959737573|0|0.0051214751973158385|0|-0.0038411063979868786|0,0.0099999999999999985,0.029999999999999999,1
SAT-COV-V1,survey,agile,-0.01536442559194752|0|0.010242950394631679|0|-0.0076822127959737599|0,0.020000000000000004,0.029999999999999999,1
SAT-COV-V1,responsive,idle_hold,0.015364425591947515|0|-0.010242950394631677|0|0.0076822127959737573|0,0.019999999999999997,0.029999999999999999,1
SAT-COV-V1,responsive,survey,0.0076822127959737573|0|-0.0051214751973158385|0|0.0038411063979868786|0,0.0099999999999999985,0.029999999999999999,1
SAT-COV-V1,responsive,responsive,0|0|0|0|0|0,0,0.029999999999999999,1
SAT-COV-V1,responsive,agile,-0.0076822127959737616|0|0.0051214751973158393|0|-0.0038411063979868808|0,0.010000000000000004,0.029999999999999999,1
SAT-COV-V1,agile,idle_hold,0.023046638387921276|0|-0.015364425591947516|0|0.011523319193960638|0,0.029999999999999999,0.029999999999999999,1
SAT-COV-V1,agile,survey,0.01536442559194752|0|-0.010242950394631679|0|0.0076822127959737599|0,0.020000000000000004,0.029999999999999999,1
SAT-COV-V1,agile,responsive,0.0076822127959737616|0|-0.0051214751973158393|0|0.0038411063979868808|0,0.010000000000000004,0.029999999999999999,1
SAT-COV-V1,agile,agile,0|0|0|0|0|0,0,0.029999999999999999,1
UAV-AG-V1,loiter,loiter,0|0|0|0,0,0.03500000000000001,1
UAV-AG-V1,loiter,mapping,-0.010004084133313017|0|0.0060024504799878102|0,0.011666666666666669,0.03500000000000001,1
UAV-AG-V1,loiter,scouting,-0.020008168266626034|0|0.01200490095997562|0,0.023333333333333338,0.03500000000000001,1
UAV-AG-V1,loiter,urgent_inspection,-0.030012252399939054|0|0.018007351439963432|0,0.03500000000000001,0.03500000000000001,1
UAV-AG-V1,mapping,loiter,0.010004084133313017|0|-0.0060024504799878102|0,0.011666666666666669,0.03500000000000001,1
UAV-AG-V1,mapping,mapping,0|0|0|0,0,0.03500000000000001,1
UAV-AG-V1,mapping,scouting,-0.010004084133313017|0|0.0060024504799878102|0,0.011666666666666669,0.03500000000000001,1
UAV-AG-V1,mapping,urgent_inspection,-0.020008168266626037|0|0.012004900959975622|0,0.023333333333333338,0.03500000000000001,1
UAV-AG-V1,scouting,loiter,0.020008168266626034|0|-0.01200490095997562|0,0.023333333333333338,0.03500000000000001,1
UAV-AG-V1,scouting,mapping,0.010004084133313017|0|-0.0060024504799878102|0,0.011666666666666669,0.03500000000000001,1
UAV-AG-V1,scouting,scouting,0|0|0|0,0,0.03500000000000001,1
UAV-AG-V1,scouting,urgent_inspection,-0.01000408413331302|0|0.0060024504799878111|0,0.011666666666666672,0.03500000000000001,1
UAV-AG-V1,urgent_inspection,loiter,0.030012252399939054|0|-0.018007351439963432|0,0.03500000000000001,0.03500000000000001,1
UAV-AG-V1,urgent_inspection,mapping,0.020008168266626037|0|-0.012004900959975622|0,0.023333333333333338,0.03500000000000001,1
UAV-AG-V1,urgent_inspection,scouting,0.01000408413331302|0|-0.0060024504799878111|0,0.011666666666666672,0.03500000000000001,1
UAV-AG-V1,urgent_inspection,urgent_inspection,0|0|0|0,0,0.03500000000000001,1
