campaign_id,codebook_index,probability,h_1,h_2,h_3,h_4,h_5,h_6
SAT-COV-V1,0,0.033333333333333333,1,0,0,0,0,0
SAT-COV-V1,1,0.033333333333333333,0,1,0,0,0,0
SAT-COV-V1,2,0.033333333333333333,0,0,1,0,0,0
SAT-COV-V1,3,0.033333333333333333,0,0,0,1,0,0
SAT-COV-V1,4,0.033333333333333333,0,0,0,0,1,0
SAT-COV-V1,5,0.033333333333333333,0,0,0,0,0,1
SAT-COV-V1,6,0.033333333333333333,0.00029647578268699132,9.6101176396627347e-05,0.5475808815669474,0.21257504808490543,0.020266951195621968,0.21918454219344152
SAT-COV-V1,7,0.033333333333333333,0.17342004641865233,0.78428603335272795,0.00051512981383016962,0.023651917224786993,0.00016470781982999384,0.01796216537017261
SAT-COV-V1,8,0.033333333333333333,0.42712632713957238,0.41933970570682672,0.0002336669556481237,0.15216067343273082,0.0011387436413167339,8.8312390514581478e-07
SAT-COV-V1,9,0.033333333333333333,0.024437728262753214,0.0050602794012399119,2.037251185861193e-08,0.96941349275385635,0.0010884791991933175,1.0445353932281651e-11
SAT-COV-V1,10,0.033333333333333333,0.10950121229305354,0.71705978315442676,0.0023060998660730313,0.053753269788403661,0.10050992211303711,0.016869712785005968
SAT-COV-V1,11,0.033333333333333333,0.015199914150500388,0.90274083182898424,0.018027350530768003,0.0075997140627599002,1.149991599972135e-06,0.056431039435387284
SAT-COV-V1,12,0.033333333333333333,0.0066915836521219138,3.2331989620324097e-12,1.2813853441475924e-06,0.0011912128668733362,0.66756857408494086,0.32454734800748647
SAT-COV-V1,13,0.033333333333333333,0.17969553380461969,7.3561833687757524e-05,0.00011885134724442198,0.00027427604939411564,0.081360624457285424,0.73847715250776869
SAT-COV-V1,14,0.033333333333333333,0.0045977821022757494,0.80743147077150124,0.11672294694940974,0.00065100297149881295,0.0052933463266336264,0.06530345087868078
SAT-COV-V1,15,0.033333333333333333,0.10743430310178338,0.816594627560984,0.065701473654616441,3.7182472289521637e-05,0.0095562181586748632,0.00067619505165164584
SAT-COV-V1,16,0.033333333333333333,0.015404333223379573,0.00029694637752595378,0.75615399330933442,2.2627281990858362e-08,2.0986753592216033e-11,0.22814470444149143
SAT-COV-V1,17,0.033333333333333333,0.00019742432554361051,0.74110912302629317,9.0073290467381963e-08,8.9271293341928365e-10,0.13294172416626229,0.12575163751589757
SAT-COV-V1,18,0.033333333333333333,0.022549518354325254,0.97519499386129915,4.5783812142871676e-05,0.0021806424114175996,2.3517007049271562e-05,5.5445537659374242e-06
SAT-COV-V1,19,0.033333333333333333,0.0013067544053141174,9.8978482658595898e-05,0.033258598595544475,0.5582631171164989,0.26167803179005206,0.14539451960993172
SAT-COV-V1,20,0.033333333333333333,0.1198403830498819,0.1103674071135904,9.4897558363144894e-06,0.0030579762919710255,0.039541670598864681,0.72718307318985564
SAT-COV-V1,21,0.033333333333333333,0.069842344462747563,3.7760589666876359e-06,0.00014951070907197274,0.87980206108927594,0.041374703208683007,0.0088276044712547116
SAT-COV-V1,22,0.033333333333333333,0.024343225909337695,0.36939712652821527,0.11469049701344994,0.0011287441406568235,0.28821095928672835,0.20222944712161192
SAT-COV-V1,23,0.033333333333333333,0.20440426695896846,0.022336092272700152,0.0001150422802040759,0.0047035127823503364,0.733434758976656,0.035006326729120962
SAT-COV-V1,24,0.033333333333333333,0.2572354209746241,3.8421306776153529e-05,0.70329044520368433,4.7981674034667736e-08,0.00022385934024597427,0.039211805192995441
SAT-COV-V1,25,0.033333333333333333,0.0015388872512419219,0.030058053535132617,0.025375262547227252,0.041841908629525318,0.30876003957856629,0.59242584845830659
SAT-COV-V1,26,0.033333333333333333,0.44014241961039313,0.00019426240112297745,2.0718108277069603e-05,0.0015350649975212985,0.18516382223737504,0.37294371264531034
SAT-COV-V1,27,0.033333333333333333,4.0255237917210015e-06,1.9610518890451342e-06,0.0021216044902200742,0.99785913907124846,4.4386506202453761e-11,1.3269818464114821e-05
SAT-COV-V1,28,0.033333333333333333,0.0016439738391006093,0.67088123173450931,0.019557591322895237,0.097070951498629779,0.2083911676139768,0.0024550839908881912
SAT-COV-V1,29,0.033333333333333333,0.10174196990652805,0.023908702358157976,0.67042249051517222,0.081742245543655959,0.12092229955677536,0.0012622921197106116
